Rank;Name;Year;Genre;Genre_Enum;Publisher;VG_Global_Sales;IGN_Score;Editors_Choice
1;Grand Theft Auto V;2013;Action;5;Take-Two Interactive;55.92;10;Y
2;Grand Theft Auto IV;2008;Action;5;Take-Two Interactive;22.47;10;Y
3;Super Mario Galaxy 2;2010;Platform;1;Nintendo;7.69;10;Y
4;The Legend of Zelda: Ocarina of Time;1998;Action;5;Nintendo;11.81;10;Y
5;Uncharted 3: Drake's Deception;2011;Action;5;Sony Computer Entertainment;6.83;10;Y
6;Metal Gear Solid 4: Guns of the Patriots;2008;Action;5;Konami Digital Entertainment;6.03;10;Y
7;The Last of Us;2013;Action;5;Sony Computer Entertainment Europe;10.54;10;Y
8;The Legend of Zelda: Skyward Sword;2011;Action;5;Nintendo;4.1;10;Y
9;Metal Gear Solid V: The Phantom Pain;2015;Action;5;Konami Digital Entertainment;5.08;10;Y
10;The Legend of Zelda: Link's Awakening DX;1998;Adventure;6;Nintendo;2.22;10;Y
11;The Legend of Zelda: Oracle of Ages;2001;Action;5;Nintendo;1.92;10;Y
12;The Legend of Zelda: Oracle of Seasons;2001;Adventure;6;Nintendo;1.86;10;Y
13;Dragon Warrior III;2000;Role-Playing;3;Enix Corporation;0.81;10;Y
14;SoulCalibur;1999;Fighting;4;Namco Bandai Games;0.34;10;Y
15;Grand Theft Auto: San Andreas;2004;Action;5;Take-Two Interactive;23.86;9.9;Y
16;The Legend of Zelda: Majora's Mask;2000;Action;5;Nintendo;3.36;9.9;Y
17;Conker's Bad Fur Day;2001;Platform;1;THQ;0.77;9.9;Y
18;Jade Empire;2005;Role-Playing;3;Microsoft Game Studios;0.7;9.9;Y
19;Advance Wars;2001;Strategy;9;Nintendo;0.7;9.9;Y
20;Super Mario 64;1996;Platform;1;Nintendo;22.31;9.8;Y
21;Halo 4;2012;Shooter;7;Microsoft Game Studios;9.76;9.8;Y
22;Gran Turismo 2;1999;Racing;8;Sony Computer Entertainment;9.49;9.8;Y
23;Halo 2;2004;Shooter;7;Microsoft Game Studios;8.59;9.8;Y
24;Metal Gear Solid;1998;Action;5;Konami Digital Entertainment;6.1;9.8;Y
25;Resident Evil 4;2005;Action;5;Capcom;7.6;9.8;Y
26;Metroid Prime;2002;Shooter;7;Nintendo;2.82;9.8;Y
27;Perfect Dark;2000;Action;5;Nintendo;2.52;9.8;Y
28;Metal Gear Solid 3: Subsistence;2005;Action;5;Konami Digital Entertainment;0.55;9.8;Y
29;Super Mario Galaxy;2007;Platform;1;Nintendo;11.52;9.7;Y
30;GoldenEye 007;1997;Shooter;7;Nintendo;8.09;9.7;Y
31;Red Dead Redemption;2010;Action;5;Take-Two Interactive;12.94;9.7;Y
32;Halo: Combat Evolved;2001;Shooter;7;Microsoft Game Studios;6.47;9.7;Y
33;Driver;1999;Action;5;GT Interactive;6.27;9.7;Y
34;Metal Gear Solid 2: Sons of Liberty;2001;Action;5;Konami Digital Entertainment;6.05;9.7;Y
35;Tony Hawk's Pro Skater 3;2001;Sports;2;Activision;8.05;9.7;Y
36;God of War II;2007;Action;5;Sony Computer Entertainment;4.07;9.7;Y
37;Wave Race 64;1996;Racing;8;Nintendo;2.94;9.7;Y
38;BioShock;2007;Shooter;7;Take-Two Interactive;4.69;9.7;Y
39;Half-Life 2;2004;Shooter;7;Vivendi Games;2.98;9.7;Y
40;Chrono Cross;1999;Role-Playing;3;SquareSoft;1.86;9.7;Y
41;Golden Sun;2001;Role-Playing;3;Nintendo;1.76;9.7;Y
42;NFL 2K;1999;Sports;2;Sega;1.2;9.7;N
43;Shenmue;1999;Adventure;6;Sega;1.18;9.7;Y
44;Shadow of the Colossus;2005;Action;5;Sony Computer Entertainment;1.18;9.7;Y
45;Excitebike 64;2000;Racing;8;Nintendo;1;9.7;Y
46;Grand Theft Auto III;2001;Action;5;Take-Two Interactive;13.11;9.6;Y
47;Animal Crossing: New Leaf;2012;Simulation;11;Nintendo;9.09;9.6;Y
48;Super Smash Bros. Melee;2001;Fighting;4;Nintendo;7.07;9.6;Y
49;Fallout 3;2008;Role-Playing;3;Bethesda Softworks;9.96;9.6;Y
50;Tony Hawk's Pro Skater 2;2000;Sports;2;Activision;6.62;9.6;Y
51;The Legend of Zelda: The Wind Waker;2002;Action;5;Nintendo;6.37;9.6;Y
52;Super Mario 3D World;2013;Platform;1;Nintendo;4.25;9.6;Y
53;Metal Gear Solid 3: Snake Eater;2004;Action;5;Konami Digital Entertainment;4.23;9.6;Y
54;Banjo-Kazooie;1998;Platform;1;Nintendo;3.66;9.6;Y
55;Mass Effect 2;2010;Role-Playing;3;Electronic Arts;4.99;9.6;Y
56;Tom Clancy's Splinter Cell;2002;Action;5;Ubisoft;6;9.6;Y
57;Devil May Cry;2001;Action;5;Capcom;2.99;9.6;Y
58;Devil May Cry 3: Dante's Awakening;2005;Action;5;Capcom;2.09;9.6;Y
59;Jak 3;2004;Platform;1;Sony Computer Entertainment;1.85;9.6;Y
60;Twisted Metal: Black;2001;Racing;8;Sony Computer Entertainment;1.41;9.6;Y
61;Vagrant Story;2000;Role-Playing;3;Crave Entertainment;0.87;9.6;Y
62;Eternal Darkness: Sanity's Requiem;2002;Adventure;6;Nintendo;0.44;9.6;Y
63;Jet Grind Radio;2003;Action;5;Sega;0.03;9.6;Y
64;New Super Mario Bros.;2006;Platform;1;Nintendo;30.01;9.5;Y
65;Mario Kart DS;2005;Racing;8;Nintendo;23.42;9.5;Y
66;Call of Duty: Modern Warfare 2;2009;Shooter;7;Activision;25.09;9.5;Y
67;Super Smash Bros. Brawl;2008;Fighting;4;Nintendo;13.04;9.5;Y
68;Halo 3;2007;Shooter;7;Microsoft Game Studios;12.14;9.5;Y
69;Gran Turismo 4;2004;Racing;8;Sony Computer Entertainment;11.66;9.5;Y
70;Super Mario 3D Land;2011;Platform;1;Nintendo;10.79;9.5;Y
71;Halo: Reach;2010;Shooter;7;Microsoft Game Studios;9.88;9.5;Y
72;Final Fantasy VII;1997;Role-Playing;3;Sony Computer Entertainment;9.72;9.5;Y
73;The Elder Scrolls V: Skyrim;2011;Role-Playing;3;Bethesda Softworks;19.28;9.5;Y
74;Final Fantasy X;2001;Role-Playing;3;Sony Computer Entertainment;8.05;9.5;Y
75;The Legend of Zelda: Twilight Princess;2006;Action;5;Nintendo;8.9;9.5;Y
76;Fallout 4;2015;Role-Playing;3;Bethesda Softworks;12.28;9.5;Y
77;Gears of War 2;2008;Shooter;7;Microsoft Game Studios;6.76;9.5;Y
78;Uncharted 2: Among Thieves;2009;Action;5;Sony Computer Entertainment;6.73;9.5;Y
79;Final Fantasy XII;2006;Role-Playing;3;Square Enix;5.95;9.5;Y
80;LittleBigPlanet;2008;Platform;1;Sony Computer Entertainment;8.5;9.5;Y
81;Batman: Arkham City;2011;Action;5;Warner Bros. Interactive Entertainment;11.2;9.5;Y
82;Final Fantasy X-2;2003;Role-Playing;3;Electronic Arts;5.29;9.5;Y
83;Diablo III;2012;Role-Playing;3;Activision;11.08;9.5;Y
84;Super Mario Bros. 3;2003;Platform;1;Nintendo;5.2;9.5;Y
85;Forza Motorsport 4;2011;Racing;8;Microsoft Game Studios;4.64;9.5;Y
86;Half-Life;1997;Shooter;7;Vivendi Games;4.72;9.5;Y
87;Tony Hawk's Underground;2003;Sports;2;Activision;6.47;9.5;Y
88;Mass Effect 3;2012;Role-Playing;3;Electronic Arts;5.78;9.5;Y
89;Syphon Filter;1999;Shooter;7;Sony Computer Entertainment;2.88;9.5;Y
90;Jak II;2003;Platform;1;Sony Computer Entertainment;2.78;9.5;Y
91;The Legend of Zelda: A Link to the Past;2002;Action;5;Nintendo;2.7;9.5;Y
92;Burnout 3: Takedown;2004;Racing;8;Electronic Arts;3.99;9.5;Y
93;NBA 2K12;2011;Sports;2;Take-Two Interactive;5.53;9.5;Y
94;Resistance 2;2008;Shooter;7;Sony Computer Entertainment;2.48;9.5;Y
95;Super Mario RPG: Legend of the Seven Stars;1996;Role-Playing;3;Nintendo;2.14;9.5;Y
96;Portal 2;2011;Shooter;7;Valve Software;4.6;9.5;Y
97;Metal Gear Solid: Peace Walker;2010;Action;5;Konami Digital Entertainment;2.09;9.5;Y
98;BioShock Infinite;2013;Shooter;7;Take-Two Interactive;4.39;9.5;Y
99;The Orange Box;2007;Shooter;7;Electronic Arts;3.05;9.5;Y
100;Metroid Prime 3: Corruption;2007;Shooter;7;Nintendo;1.82;9.5;Y
101;Metroid Fusion;2002;Action;5;Nintendo;1.68;9.5;Y
102;Ape Escape;1999;Platform;1;Sony Computer Entertainment;1.68;9.5;Y
103;Dark Souls III;2016;Role-Playing;3;Namco Bandai Games;1.96;9.5;Y
104;Xenogears;1998;Role-Playing;3;SquareSoft;1.46;9.5;Y
105;Grand Theft Auto: Chinatown Wars;2009;Action;5;Take-Two Interactive;2.43;9.5;Y
106;Metroid Prime 2: Echoes;2004;Shooter;7;Nintendo;1.33;9.5;Y
107;NFL 2K1;2000;Sports;2;Sega;1.09;9.5;Y
108;Empire: Total War;2009;Strategy;9;Sega;1.09;9.5;Y
109;Forza Motorsport;2005;Racing;8;Microsoft Game Studios;1.05;9.5;Y
110;Rayman Origins;2011;Platform;1;Ubisoft;3.22;9.5;Y
111;Bayonetta 2;2014;Action;5;Nintendo;1.01;9.5;Y
112;God of War: Ghost of Sparta;2010;Action;5;Sony Computer Entertainment;1.01;9.5;Y
113;Fire Emblem;2003;Strategy;9;Nintendo;0.97;9.5;Y
114;Pro Evolution Soccer 2016;2015;Sports;2;Konami Digital Entertainment;1.5;9.5;Y
115;Virtua Fighter 4: Evolution;2003;Fighting;4;Sega;0.71;9.5;Y
116;Rayman Legends;2013;Platform;1;Ubisoft;3.36;9.5;Y
117;Viewtiful Joe;2003;Action;5;Capcom;0.9;9.5;Y
118;Syphon Filter: Logan's Shadow;2007;Shooter;7;Sony Computer Entertainment;0.52;9.5;Y
119;Mario Golf: Advance Tour;2004;Sports;2;Nintendo;0.45;9.5;Y
120;Forza Horizon 3;2016;Racing;8;Microsoft Game Studios;0.38;9.5;Y
121;Elite Beat Agents;2006;Misc;12;Nintendo;0.38;9.5;Y
122;Pro Evolution Soccer 2017;2016;Sports;2;Konami Digital Entertainment;0.37;9.5;Y
123;Colony Wars: Vengeance;1998;Simulation;11;Psygnosis;0.23;9.5;Y
124;Space Station Silicon Valley;1997;Adventure;6;Take-Two Interactive;0.15;9.5;Y
125;Ultimate Card Games;2003;Misc;12;Telegames;0.12;9.5;Y
126;Patapon 2;2008;Misc;12;Sony Computer Entertainment;0.11;9.5;Y
127;StarCraft;1998;Strategy;9;Activision;0.05;9.5;Y
128;The Sims;2000;Simulation;11;Electronic Arts;3.73;9.5;Y
129;World of Goo;2008;Puzzle;10;2D Boy;0.04;9.5;Y
130;Zero Escape: Virtue's Last Reward;2012;Adventure;6;Rising Star Games;0.03;9.5;Y
131;Homeworld;1998;Strategy;9;Vivendi Games;0.02;9.5;Y
132;Call of Duty 4: Modern Warfare;2007;Shooter;7;Activision;18.25;9.4;Y
133;Super Mario Sunshine;2002;Platform;1;Nintendo;6.31;9.4;Y
134;Gears of War;2006;Shooter;7;Microsoft Game Studios;6.13;9.4;Y
135;Forza Motorsport 3;2009;Racing;8;Microsoft Game Studios;5.51;9.4;Y
136;Tony Hawk's Pro Skater;1999;Sports;2;Activision;8.46;9.4;Y
137;World Soccer Winning Eleven 8 International;2004;Sports;2;Konami Digital Entertainment;3.94;9.4;Y
138;Resident Evil 3: Nemesis;1999;Action;5;Eidos Interactive;3.8;9.4;Y
139;Jak and Daxter: The Precursor Legacy;2001;Platform;1;Sony Computer Entertainment;3.64;9.4;Y
140;God of War: Chains of Olympus;2008;Action;5;Sony Computer Entertainment;3.19;9.4;Y
141;The Legend of Zelda: A Link Between Worlds;2013;Action;5;Nintendo;3.07;9.4;Y
142;Killzone 2;2009;Shooter;7;Sony Computer Entertainment;3.02;9.4;Y
143;The Elder Scrolls III: Morrowind;2002;Role-Playing;3;Ubisoft;2.86;9.4;Y
144;God of War Collection;2009;Action;5;Sony Computer Entertainment;2.96;9.4;Y
145;ESPN NFL 2K5;2004;Sports;2;Sega;4.25;9.4;Y
146;R4: Ridge Racer Type 4;1998;Racing;8;Namco Bandai Games;2.06;9.4;Y
147;NBA Street Vol. 2;2003;Sports;2;Electronic Arts;3.17;9.4;Y
148;Demon's Souls;2009;Role-Playing;3;Namco Bandai Games;1.84;9.4;Y
149;Dead or Alive 3;2001;Fighting;4;Microsoft Game Studios;1.77;9.4;Y
150;SSX Tricky;2001;Sports;2;Electronic Arts;2.89;9.4;Y
151;Overwatch;2016;Shooter;7;Activision;3.01;9.4;Y
152;SSX 3;2003;Sports;2;Electronic Arts;2.56;9.4;Y
153;Madden NFL 2001;2000;Sports;2;Electronic Arts;3.81;9.4;Y
154;Tom Clancy's Rainbow Six;1999;Shooter;7;Red Storm Entertainment;2.28;9.4;Y
155;Ni no Kuni: Wrath of the White Witch;2011;Role-Playing;3;Namco Bandai Games;1.55;9.4;Y
156;Banjo-Tooie;2000;Platform;1;Nintendo;1.49;9.4;Y
157;Max Payne 2: The Fall of Max Payne;2003;Shooter;7;Take-Two Interactive;2.01;9.4;Y
158;Baldur's Gate: Dark Alliance;2001;Role-Playing;3;Virgin Interactive;1.61;9.4;Y
159;NBA 2K2;2002;Sports;2;Sega;1.54;9.4;Y
160;NBA Street V3;2005;Sports;2;Electronic Arts;1.67;9.4;Y
161;Dead or Alive 2;2000;Fighting;4;Tecmo Koei;1.14;9.4;N
162;Colin McRae Rally 2.0;2000;Racing;8;Codemasters;0.93;9.4;Y
163;Samba De Amigo;2008;Misc;12;Sega;0.9;9.4;N
164;Crysis;2007;Shooter;7;Electronic Arts;0.72;9.4;Y
165;BlazBlue: Calamity Trigger;2009;Fighting;4;PQube;0.95;9.4;Y
166;Final Fantasy Chronicles;2001;Role-Playing;3;Square;0.52;9.4;Y
167;ICO;2001;Action;5;Sony Computer Entertainment;0.53;9.4;Y
168;Aggressive Inline;2002;Sports;2;Acclaim Entertainment;0.47;9.4;Y
169;The Sims 2;2004;Simulation;11;Electronic Arts;4.42;9.4;Y
170;Virtua Tennis;2002;Sports;2;Atari;0.18;9.4;Y
171;Sid Meier's Civilization IV;2005;Strategy;9;Take-Two Interactive;0.17;9.4;Y
172;Sonic Adventure 2;2001;Platform;1;Sega;0.12;9.4;Y
173;Rome: Total War;2004;Strategy;9;Activision;0.1;9.4;Y
174;Ninja Gaiden Black;2005;Action;5;Microsoft Game Studios;0.09;9.4;Y
175;Company of Heroes;2006;Strategy;9;THQ;0.05;9.4;Y
176;Unreal Tournament 2004;2004;Shooter;7;Atari;0.02;9.4;Y
177;Deus Ex;2000;Role-Playing;3;Eidos Interactive;0.01;9.4;Y
178;Call of Duty: Black Ops II;2012;Shooter;7;Activision;29.72;9.3;Y
179;Tekken 3;1998;Fighting;4;Sony Computer Entertainment;7.16;9.3;Y
180;God of War III;2010;Action;5;Sony Computer Entertainment;5.47;9.3;Y
181;Luigi's Mansion: Dark Moon;2013;Action;5;Nintendo;4.58;9.3;Y
182;The Elder Scrolls IV: Oblivion;2006;Role-Playing;3;Take-Two Interactive;7.77;9.3;Y
183;Batman: Arkham Asylum;2009;Action;5;Eidos Interactive;8.07;9.3;Y
184;Street Fighter IV;2009;Fighting;4;Capcom;7.27;9.3;N
185;Tekken 5;2005;Fighting;4;Namco Bandai Games;3.87;9.3;Y
186;The Witcher 3: Wild Hunt;2015;Role-Playing;3;Namco Bandai Games;5.64;9.3;Y
187;The Legend of Zelda: Spirit Tracks;2009;Action;5;Nintendo;3.38;9.3;Y
188;Max Payne;2001;Shooter;7;Take-Two Interactive;4.58;9.3;Y
189;Middle-Earth: Shadow of Mordor;2014;Action;5;Warner Bros. Interactive Entertainment;5.85;9.3;Y
190;NBA Street;2001;Sports;2;Electronic Arts;3.21;9.3;Y
191;Fable;2004;Role-Playing;3;Microsoft Game Studios;3.14;9.3;Y
192;NBA 2K14;2013;Sports;2;Take-Two Interactive;6.72;9.3;Y
193;Tom Clancy's Splinter Cell: Conviction;2010;Action;5;Ubisoft;2.17;9.3;Y
194;Tom Clancy's Rainbow Six: Vegas;2006;Shooter;7;Ubisoft;3.95;9.3;Y
195;Tom Clancy's Ghost Recon;2002;Shooter;7;Ubisoft;3.99;9.3;Y
196;Virtua Fighter 4;2002;Fighting;4;Sega;1.81;9.3;Y
197;Ace Combat 5: The Unsung War;2004;Simulation;11;Sony Computer Entertainment Europe;1.71;9.3;Y
198;Tom Clancy's Rainbow Six 3;2003;Shooter;7;Ubisoft;2.42;9.3;Y
199;Star Wars Knights of the Old Republic II: The Sith Lords;2004;Role-Playing;3;Activision;1.43;9.3;Y
200;Final Fantasy X / X-2 HD Remaster;2013;Role-Playing;3;Square Enix;2.3;9.3;Y
201;Rise of the Tomb Raider;2015;Adventure;6;Square Enix;1.8;9.3;Y
202;Dino Crisis 2;2000;Action;5;Virgin Interactive;1.21;9.3;Y
203;Pikmin 2;2004;Strategy;9;Nintendo;1.2;9.3;Y
204;Ninja Gaiden Sigma;2007;Action;5;Eidos Interactive;1.42;9.3;Y
205;Tom Clancy's Rainbow Six 3: Black Arrow;2004;Shooter;7;Ubisoft;1.13;9.3;Y
206;Madden NFL 2004;2003;Sports;2;Electronic Arts;7.14;9.3;Y
207;Prince of Persia;2008;Action;5;Ubisoft;2.09;9.3;Y
208;WipEout Pure;2005;Racing;8;Sony Computer Entertainment;1.04;9.3;Y
209;MX vs. ATV Unleashed;2005;Racing;8;THQ;1.43;9.3;Y
210;Street Fighter Alpha 3;1998;Fighting;4;Virgin Interactive;1.18;9.3;Y
211;Tearaway;2013;Adventure;6;Sony Computer Entertainment Europe;0.75;9.3;Y
212;Return to Castle Wolfenstein: Tides of War;2003;Shooter;7;Activision;0.67;9.3;Y
213;F-Zero GX;2003;Racing;8;Nintendo;0.65;9.3;Y
214;2002 FIFA World Cup;2002;Sports;2;Electronic Arts;0.83;9.3;Y
215;ESPN NFL Football;2003;Sports;2;Sega;0.92;9.3;Y
216;Castlevania: Dawn of Sorrow;2005;Platform;1;Konami Digital Entertainment;0.47;9.3;Y
217;Top Spin;2003;Sports;2;Microsoft Game Studios;0.56;9.3;Y
218;Colony Wars;1997;Simulation;11;Psygnosis;0.42;9.3;Y
219;Syphon Filter: Dark Mirror;2006;Shooter;7;Sony Computer Entertainment;0.57;9.3;Y
220;Castlevania: Aria of Sorrow;2003;Platform;1;Konami Digital Entertainment;0.28;9.3;Y
221;Pro Race Driver;2002;Racing;8;Codemasters;0.31;9.3;Y
222;ESPN NHL Hockey;2003;Sports;2;Sega;0.34;9.3;Y
223;Phantasy Star Online;2000;Role-Playing;3;Sega;0.2;9.3;Y
224;XCOM 2;2016;Strategy;9;Take-Two Interactive;0.26;9.3;Y
225;Marvel vs. Capcom 2: New Age of Heroes;2000;Fighting;4;Virgin Interactive;1.04;9.3;Y
226;Warcraft III: Reign of Chaos;2002;Strategy;9;Vivendi Games;0.13;9.3;Y
227;Child of Light;2014;Role-Playing;3;Ubisoft;0.16;9.3;Y
228;Age of Mythology;2002;Strategy;9;Microsoft Game Studios;0.09;9.3;Y
229;Deathrow: Underground Team Combat;2002;Sports;2;Ubisoft;0.06;9.3;Y
230;World in Conflict;2007;Strategy;9;Vivendi Games;0.04;9.3;Y
231;Battlefield 1942;2002;Shooter;7;Electronic Arts;0.03;9.3;Y
232;The Longest Journey;1999;Adventure;6;Empire Interactive;0.02;9.3;Y
233;Call of Duty: World at War;2008;Shooter;7;Activision;15.87;9.2;Y
234;Assassin's Creed II;2009;Action;5;Ubisoft;11.41;9.2;Y
235;Final Fantasy IX;2000;Role-Playing;3;SquareSoft;5.3;9.2;Y
236;Batman: Arkham Knight;2015;Action;5;Warner Bros. Interactive Entertainment;5.37;9.2;Y
237;Tony Hawk's Pro Skater 4;2002;Sports;2;Activision;5.75;9.2;Y
238;Midnight Club 3: DUB Edition;2005;Racing;8;Take-Two Interactive;4.4;9.2;Y
239;wwe Smackdown vs. Raw 2006;2006;Fighting;4;THQ;3;9.2;Y
240;Dino Crisis;1998;Action;5;Capcom;2.41;9.2;Y
241;SoulCalibur II;2003;Fighting;4;Namco Bandai Games;4.56;9.2;Y
242;Hot Shots Golf 2;1999;Sports;2;Sony Computer Entertainment;1.88;9.2;Y
243;NCAA Football 06;2005;Sports;2;Electronic Arts;2.81;9.2;Y
244;Sly 2: Band of Thieves;2004;Platform;1;Sony Computer Entertainment;1.88;9.2;Y
245;Dishonored;2012;Action;5;Bethesda Softworks;4.3;9.2;Y
246;Gears of War: Judgment;2013;Shooter;7;Microsoft Game Studios;1.61;9.2;N
247;Red Faction II;2002;Shooter;7;THQ;1.65;9.2;Y
248;Triple Play 2000;1999;Sports;2;Electronic Arts;1.71;9.2;N
249;NFL Street;2004;Sports;2;Electronic Arts;2.43;9.2;Y
250;NASCAR 2005: Chase for the Cup;2004;Racing;8;Electronic Arts;1.98;9.2;Y
251;ATV Offroad Fury 3;2004;Racing;8;SouthPeak Games;1.2;9.2;Y
252;NHL 2002;2001;Sports;2;Electronic Arts;1.59;9.2;Y
253;MechAssault;2002;Simulation;11;Microsoft Game Studios;1.13;9.2;Y
254;Tom Clancy's Splinter Cell: Blacklist;2013;Action;5;Ubisoft;2.28;9.2;Y
255;Resistance: Retribution;2009;Shooter;7;Sony Computer Entertainment;0.9;9.2;Y
256;ESPN NHL 2K5;2004;Sports;2;Global Star;1.3;9.2;Y
257;Patapon;2007;Misc;12;Sony Computer Entertainment;0.81;9.2;Y
258;Maximo: Ghosts to Glory;2001;Platform;1;Capcom;0.77;9.2;Y
259;Unreal Championship;2002;Shooter;7;Atari;0.74;9.2;Y
260;Full Spectrum Warrior;2004;Strategy;9;THQ;1.03;9.2;Y
261;Rayman 2: The Great Escape;1999;Platform;1;Ubisoft;0.96;9.2;Y
262;Wave Race: Blue Storm;2001;Racing;8;Nintendo;0.6;9.2;Y
263;Dead or Alive Xtreme Beach Volleyball;2003;Sports;2;Microsoft Game Studios;0.59;9.2;Y
264;RalliSport Challenge;2002;Racing;8;Microsoft Game Studios;0.57;9.2;Y
265;ESPN NBA Basketball;2003;Sports;2;Sega;0.81;9.2;Y
266;Dead or Alive Ultimate;2004;Fighting;4;Tecmo Koei;0.5;9.2;Y
267;F.E.A.R.;2006;Shooter;7;Vivendi Games;0.89;9.2;Y
268;Klonoa 2: Lunatea's Veil;2001;Platform;1;Sony Computer Entertainment;0.33;9.2;Y
269;Deus Ex: Mankind Divided;2016;Role-Playing;3;Square Enix;0.5;9.2;Y
270;Disgaea: Hour of Darkness;2003;Role-Playing;3;Tecmo Koei;0.33;9.2;Y
271;SimCity 4;2003;Simulation;11;Electronic Arts;0.3;9.2;Y
272;RalliSport Challenge 2;2004;Racing;8;Microsoft Game Studios;0.27;9.2;Y
273;Panzer Dragoon Orta;2002;Shooter;7;Sega;0.26;9.2;Y
274;Castlevania: Harmony of Dissonance;2002;Platform;1;Konami Digital Entertainment;0.26;9.2;Y
275;Tom Clancy's Rainbow Six: Rogue Spear;2001;Shooter;7;Ubisoft;0.34;9.2;Y
276;Grandia II;2000;Role-Playing;3;Ubisoft;0.49;9.2;Y
277;Sega GT;2000;Racing;8;Sega;0.13;9.2;N
278;Skies of Arcadia;2000;Role-Playing;3;Sega;0.09;9.2;Y
279;WipEout HD Fury;2009;Racing;8;Sony Computer Entertainment;0.08;9.2;Y
280;Giants: Citizen Kabuto;2001;Shooter;7;Interplay;0.06;9.2;Y
281;Ferrari F355 Challenge;2002;Racing;8;Sony Computer Entertainment;0.05;9.2;Y
282;Freelancer;2003;Simulation;11;Microsoft Game Studios;0.05;9.2;Y
283;NBA 2K;1999;Sports;2;Sega;0.05;9.2;N
284;Far Cry;2004;Shooter;7;Ubisoft;0.05;9.2;Y
285;Mafia;2002;Action;5;Take-Two Interactive;0.98;9.2;Y
286;Planescape: Torment;1998;Role-Playing;3;Interplay;0.04;9.2;Y
287;Call of Duty: Advanced Warfare;2014;Shooter;7;Activision;21.9;9.1;Y
288;Need for Speed Underground 2;2004;Racing;8;Electronic Arts;10.97;9.1;Y
289;World of Warcraft;2004;Role-Playing;3;Activision;6.28;9.1;Y
290;New Super Mario Bros. U;2012;Platform;1;Nintendo;5.19;9.1;Y
291;Uncharted: Drake's Fortune;2007;Action;5;Sony Computer Entertainment;4.94;9.1;Y
292;Tomb Raider;1996;Action;5;Eidos Interactive;5.66;9.1;Y
293;Resistance: Fall of Man;2006;Shooter;7;Sony Computer Entertainment;4.35;9.1;Y
294;Spyro: Year of the Dragon;2000;Platform;1;Sony Computer Entertainment;3.71;9.1;Y
295;Animal Crossing;2001;Simulation;11;Nintendo;3.15;9.1;Y
296;NBA 2K13;2012;Sports;2;Take-Two Interactive;6.1;9.1;Y
297;World Soccer Winning Eleven 7 International;2003;Sports;2;Konami Digital Entertainment;2.9;9.1;Y
298;Bloodborne;2015;Action;5;Sony Computer Entertainment;2.38;9.1;Y
299;Paper Mario: The Thousand-Year Door;2004;Role-Playing;3;Nintendo;2.25;9.1;Y
300;Sonic Advance;2001;Platform;1;Sega;2.24;9.1;Y
301;BioShock 2;2010;Shooter;7;Take-Two Interactive;4;9.1;Y
302;Red Faction;2001;Shooter;7;THQ;1.92;9.1;Y
303;Midnight Club II;2003;Racing;8;Take-Two Interactive;2.28;9.1;Y
304;Pikmin;2001;Strategy;9;Nintendo;1.63;9.1;Y
305;NFL 2K3;2002;Sports;2;Atari;2.06;9.1;Y
306;F-Zero X;1998;Racing;8;Nintendo;1.1;9.1;Y
307;Ready 2 Rumble Boxing;1998;Sports;2;Midway Games;1.67;9.1;N
308;Tom Clancy's Ghost Recon Advanced Warfighter 2;2007;Shooter;7;Ubisoft;2.59;9.1;Y
309;Crimson Skies: High Road to Revenge;2003;Simulation;11;Microsoft Game Studios;0.87;9.1;Y
310;Valkyrie Profile;1999;Role-Playing;3;Enix Corporation;0.81;9.1;Y
311;TimeSplitters 2;2002;Shooter;7;Eidos Interactive;1.78;9.1;Y
312;Okami;2006;Action;5;Capcom;1.41;9.1;Y
313;International Superstar Soccer '98;1998;Sports;2;Konami Digital Entertainment;0.58;9.1;Y
314;Tenchu 2: Birth of the Stealth Assassins;2000;Action;5;Activision;0.58;9.1;Y
315;WWE Raw 2;2003;Fighting;4;THQ;0.56;9.1;Y
316;WipEout 64;1998;Racing;8;Midway Games;0.43;9.1;N
317;LocoRoco 2;2008;Platform;1;Sony Computer Entertainment;0.36;9.1;Y
318;WipEout 3;1999;Racing;8;Psygnosis;0.34;9.1;Y
319;World of Warcraft: Legion;2016;Role-Playing;3;Activision;0.29;9.1;Y
320;Ultimate Fighting Championship;2000;Fighting;4;Ubisoft;0.25;9.1;Y
321;World Series Baseball 2K3;2003;Sports;2;Sega;0.4;9.1;Y
322;Shadow Hearts: Covenant;2004;Role-Playing;3;Midway Games;0.24;9.1;Y
323;All-Star Baseball 2001;2000;Sports;2;Acclaim Entertainment;0.23;9.1;Y
324;NHL Championship 2000;1998;Sports;2;Fox Interactive;0.22;9.1;Y
325;Disgaea D2: A Brighter Darkness;2013;Role-Playing;3;Nippon Ichi Software;0.21;9.1;Y
326;Scribblenauts Unmasked: A DC Comics Adventure;2013;Puzzle;10;Warner Bros. Interactive Entertainment;0.21;9.1;Y
327;Colin McRae Rally 2005;2004;Racing;8;Codemasters;0.07;9.1;Y
328;Call of Duty: Modern Warfare 3;2011;Shooter;7;Activision;30.83;9;Y
329;Mario Kart 7;2011;Racing;8;Nintendo;12.21;9;Y
330;Minecraft;2013;Misc;12;Microsoft Game Studios;23.73;9;Y
331;Final Fantasy VIII;1999;Role-Playing;3;SquareSoft;7.86;9;Y
